iteration,L1
1,5310.245896453248
2,4063.064425687395
3,2902.3712075488393
4,2902.3712075488393
5,1632.983445329757
6,1632.983445329757
7,1632.983445329757
8,1632.983445329757
9,1632.983445329757
10,1352.3340504281016
11,738.3472982655829
12,738.3472982655829
13,682.262812541769
14,332.20043203849013
15,332.20043203849013
16,332.20043203849013
17,307.400550038736
18,307.400550038736
19,295.0477405708648
20,292.31592320958435
21,292.31592320958435
22,221.9284234055701
23,187.85409312764625
24,187.85409312764625
25,185.33316727467388
26,174.54306795199557
27,143.0140645373671
28,131.76466296968977
29,131.76466296968977
30,123.71292740966555
31,123.71292740966555
32,123.71292740966555
33,122.5376525497683
34,119.937009143827
35,119.937009143827
36,116.25783489772937
37,116.25783489772937
38,116.25783489772937
39,115.24031797600318
40,114.81931854354421
41,114.81931854354421
42,114.81931854354421
43,114.23262752145067
44,113.84860801662265
45,112.9961887261019
46,112.9961887261019
47,112.9961887261019
48,112.9961887261019
